CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,83,2023-07-17,Estorno Deposito PIX - CodVenda:000043 -,1,40,0,6,0,0,,15:17,,,,,,0,,,,,,
1,84,2023-07-05,000001 - Consumidor,30,40,0,6,44,0,,15:18,,,,,,0,,,,,,
1,85,2023-07-05,Venda Deposito Bancario,3,0,40,6,44,0,,15:18,,,,,,0,,,,,,
1,86,2023-07-05,000001 - Consumidor,30,650,0,6,45,0,,15:18,,,,,,0,,,,,,
1,87,2023-07-05,Venda Deposito Bancario,3,0,650,6,45,0,,15:18,,,,,,0,,,,,,
1,88,2023-07-06,000001 - Consumidor,30,3867.38,0,6,46,0,,15:21,,,,,,0,,,,,,
1,89,2023-07-06,Venda Deposito Bancario,3,0,3867.38,6,46,0,,15:21,,,,,,0,,,,,,
1,90,2023-07-06,000001 - Consumidor,30,600,0,6,47,0,,15:22,,,,,,0,,,,,,
1,91,2023-07-06,Venda Deposito Bancario,3,0,600,6,47,0,,15:22,,,,,,0,,,,,,
1,92,2023-07-06,000001 - Consumidor,30,1000,0,6,48,0,,15:23,,,,,,0,,,,,,
1,93,2023-07-06,Venda Deposito Bancario,3,0,1000,6,48,0,,15:23,,,,,,0,,,,,,
1,94,2023-07-06,000001 - Consumidor,30,3338.03,0,6,49,0,,15:28,,,,,,0,,,,,,
1,95,2023-07-06,Venda Deposito Bancario,3,0,3338.03,6,49,0,,15:28,,,,,,0,,,,,,
1,96,2023-07-10,000001 - Consumidor,30,7318.15,0,6,50,0,,15:32,,,,,,0,,,,,,
1,97,2023-07-10,000001 - Consumidor,40,0,7318.15,6,50,0,,15:33,,,,,,0,,,,,,
1,98,2023-07-10,000001 - Consumidor,30,7318.15,0,6,51,0,,15:33,,,,,,0,,,,,,
1,99,2023-07-10,Venda Deposito Bancario,3,0,7318.15,6,51,0,,15:33,,,,,,0,,,,,,
1,100,2023-07-11,000001 - Consumidor,30,23027.2,0,6,52,0,,15:37,,,,,,0,,,,,,
1,101,2023-07-11,Venda Deposito Bancario,3,0,23027.2,6,52,0,,15:37,,,,,,0,,,,,,
1,102,2023-07-11,000001 - Consumidor,30,1367,0,6,53,0,,15:42,,,,,,0,,,,,,
1,103,2023-07-11,Venda Deposito Bancario,3,0,1367,6,53,0,,15:42,,,,,,0,,,,,,
1,104,2023-07-12,000001 - Consumidor,30,612.2,0,6,54,0,,15:50,,,,,,0,,,,,,
1,105,2023-07-12,Venda Deposito Bancario,3,0,612.2,6,54,0,,15:50,,,,,,0,,,,,,
1,106,2023-07-13,000001 - Consumidor,30,5150.72,0,6,55,0,,16:04,,,,,,0,,,,,,
1,107,2023-07-13,Venda Deposito Bancario,3,0,5150.72,6,55,0,,16:04,,,,,,0,,,,,,
1,108,2023-07-13,000001 - Consumidor,30,4612,0,6,56,0,,16:06,,,,,,0,,,,,,
1,109,2023-07-13,Venda Deposito Bancario,3,0,4612,6,56,0,,16:06,,,,,,0,,,,,,
1,110,2023-07-13,000001 - Consumidor,30,40,0,6,57,0,,16:07,,,,,,0,,,,,,
1,111,2023-07-13,Venda Deposito Bancario,3,0,40,6,57,0,,16:07,,,,,,0,,,,,,
1,112,2023-07-14,000001 - Consumidor,30,1175,0,6,58,0,,16:10,,,,,,0,,,,,,
1,113,2023-07-14,Venda Deposito Bancario,3,0,1175,6,58,0,,16:10,,,,,,0,,,,,,
1,114,2023-07-14,000001 - Consumidor,30,778,0,6,59,0,,16:10,,,,,,0,,,,,,
1,115,2023-07-14,Venda Deposito Bancario,3,0,778,6,59,0,,16:10,,,,,,0,,,,,,
1,116,2023-07-14,000001 - Consumidor,30,610.9,0,6,60,0,,16:11,,,,,,0,,,,,,
1,117,2023-07-14,Venda Deposito Bancario,3,0,610.9,6,60,0,,16:11,,,,,,0,,,,,,
1,118,2023-07-17,000001 - Consumidor,30,4725,0,6,61,0,,16:55,,,,,,0,,,,,,
1,119,2023-07-17,Venda Deposito Bancario,3,0,4725,6,61,0,,16:55,,,,,,0,,,,,,
1,120,2023-07-17,000001 - Consumidor,30,3959.43,0,6,62,0,,17:23,,,,,,0,,,,,,
1,121,2023-07-17,Venda Deposito Bancario,3,0,3959.43,6,62,0,,17:23,,,,,,0,,,,,,
1,122,2023-07-18,000001 - Consumidor,30,3379.57,0,6,63,0,,08:41,,,,,,0,,,,,,
1,123,2023-07-18,Venda Deposito Bancario,3,0,3379.57,6,63,0,,08:41,,,,,,0,,,,,,
1,124,2023-07-17,000001 - Consumidor,30,150,0,6,64,0,,17:01,,,,,,0,,,,,,
