CODVENDA,CODITEM,CODPROD,QUANTIDADE,VALORUNIT,DESCRICAOMO,DEST,VALORCUSTO,CODTIPPROD,CODFUNC,COMISSAOPORCEN,PRECOCERTO,PESOPRODUTO,DATA,MES,VALORDESCONTO,DARBAIXA,ESTORNADO,BAIXADO,DELETADO,CODBAIXA,IDREMESSA,PRODMO,PRODMONTADO,IMPRESSO,GRADE,MOTIVODEL,IMPRECEITA,PRECOAPRAZO,OK_COZINHA,VALORTOTAL,VALTOTAL_PRECOCERTO,IAT,IPPT,DESC_PRODUTO,CODALIQUOTA,IT_DESCONTO,IT_ACRESCIMO,UNIDADE,INFOADICIONAL,BAIXARRECEITA,CFOP,TAB_TOTALIZADOR,COO,CCF,DESCTOTAL_SPED,COR,PPIS,PCOFINS,VPIS,VCOFINS,ACRESTOTAL_SPED,AUT_DELBD,QUANT_RESERVADA,REG_MD5,VAL_INCLUSAO,PRECOTABELA,CUSTOMEDIO,TOTAL_IMPOSTOS,NCM_PROD,ORIGEM_MERC_PROD,P_COMPRAPROD,PRODRESERVADO,IDSETOR,CUSTO_VARIAVEL,PERCCUSTO_VARIAVEL,ROMANEIO_ID,CODPROMOCAO,RESERV_ARETIRAR,BLOQ_COMISSAO,COMISSAO_PROD,VAZILHAME_OP,VAZILHAME_QUANTEMP,ICMS_ST,LOTE,AMBIENTE_ORC,ID_RESTRICAO,DEF_ENTREGA,PQUANT_DECIMAIS,BLOQ_DESCITEM,KIT_CODPROD
31,1,999998,1,1,,,1,01,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,172004,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
32,1,999998,1,1,,,1,01,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,128972,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
33,1,000004,1,0.01,,,0.01,MO,0,0,0.01,,2023-07-17,07/2023,0,1,1,1,0,24366,,0,0,,,,,0.01,,0.01,0.01,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
34,1,000004,1,1276.5,,,0.01,MO,0,0,1276.5,,2023-07-17,07/2023,0,1,1,1,0,174545,,0,0,,,,,1276.5,,1276.5,1276.5,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
35,1,000004,1,1276.5,,,0.01,MO,0,0,1276.5,,2023-06-22,06/2023,0,1,0,1,0,65608,,0,0,,,,,1276.5,,1276.5,1276.5,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
36,1,000004,1,1210.85,,,0.01,MO,0,0,1210.85,,2023-06-29,06/2023,0,1,0,1,0,29782,,0,0,,,,,1210.85,,1210.85,1210.85,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
37,1,000003,1,2529.44,,,0.01,MO,0,0,2529.44,,2023-07-03,07/2023,0,1,0,1,0,162027,,0,0,,,,,2529.44,,2529.44,2529.44,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
38,1,000006,1,580,,,0.01,MO,0,0,580,,2023-07-03,07/2023,0,1,1,1,0,135502,,0,0,,,,,580,,580,580,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
39,1,000006,1,580,,,0.01,MO,0,0,580,,2023-07-03,07/2023,0,1,0,1,0,158349,,0,0,,,,,580,,580,580,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
40,1,000004,1,1919,,,0.01,MO,0,0,1919,,2023-07-04,07/2023,0,1,0,1,0,177790,,0,0,,,,,1919,,1919,1919,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
40,2,000006,1,2400,,,0.01,MO,0,0,2400,,2023-07-04,07/2023,0,1,0,1,0,177790,,0,0,,,,,2400,,2400,2400,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
41,1,000004,1,655.39,,,0.01,MO,0,0,655.39,,2023-07-05,07/2023,0,1,0,1,0,268635,,0,0,,,,,655.39,,655.39,655.39,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
41,2,000006,1,3344.65,,,0.01,MO,0,0,3344.65,,2023-07-05,07/2023,0,1,0,1,0,268635,,0,0,,,,,3344.65,,3344.65,3344.65,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
42,1,000003,1,1336.67,,,0.01,MO,0,0,1336.67,,2023-07-05,07/2023,0,1,0,1,0,48273,,0,0,,,,,1336.67,,1336.67,1336.67,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
43,1,000006,1,40,,,0.01,MO,0,0,40,,2023-07-17,07/2023,0,1,1,1,0,190576,,0,0,,,,,40,,40,40,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
44,1,000006,1,40,,,0.01,MO,0,0,40,,2023-07-05,07/2023,0,1,0,1,0,245197,,0,0,,,,,40,,40,40,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
45,1,000006,1,650,,,0.01,MO,0,0,650,,2023-07-05,07/2023,0,1,0,1,0,178263,,0,0,,,,,650,,650,650,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
46,1,000004,1,1353.94,,,0.01,MO,0,0,1353.94,,2023-07-06,07/2023,0,1,0,1,0,222758,,0,0,,,,,1353.94,,1353.94,1353.94,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
46,2,000006,1,2513.44,,,0.01,MO,0,0,2513.44,,2023-07-06,07/2023,0,1,0,1,0,222758,,0,0,,,,,2513.44,,2513.44,2513.44,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
47,1,000006,1,600,,,0.01,MO,0,0,600,,2023-07-06,07/2023,0,1,0,1,0,291580,,0,0,,,,,600,,600,600,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
48,1,000003,1,1000,,,0.01,MO,0,0,1000,,2023-07-06,07/2023,0,1,0,1,0,289630,,0,0,,,,,1000,,1000,1000,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
49,1,000004,1,1263.22,,,0.01,MO,0,0,1263.22,,2023-07-06,07/2023,0,1,0,1,0,265134,,0,0,,,,,1263.22,,1263.22,1263.22,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
49,2,000006,1,2074.81,,,0.01,MO,0,0,2074.81,,2023-07-06,07/2023,0,1,0,1,0,265134,,0,0,,,,,2074.81,,2074.81,2074.81,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
50,1,000004,1,1265.15,,,0.01,MO,0,0,1265.15,,2023-07-10,07/2023,0,1,1,1,0,136098,,0,0,,,,,1265.15,,1265.15,1265.15,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
50,2,000006,1,6053,,,0.01,MO,0,0,6053,,2023-07-10,07/2023,0,1,1,1,0,136098,,0,0,,,,,6053,,6053,6053,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
